rand_ID,cpc,cohesin,e,time,chr_length,distances
1,0.125,0.09,0.0089,0.014627,2.705850,[1.85107627568208 0.651317489643446 0.526708608736393 0.965906302597177] 
1,0.125,0.09,0.0089,0.023067,1.262730,[] 
1,0.125,0.09,0.0089,0.011879,4.389490,[1.10903373411917 0.49130473829029 0.436164291450006 0.389406720298947 0.534200525642832 0.651317489643446 0.526708608736393 0.965906302597177 0.867521625543703] 
1,0.125,0.09,0.0089,0.008186,1.623510,[0.436164291450006 0.389406720298947 0.534200525642832 0.651317489643446 0.526708608736393] 
1,0.125,0.09,0.0089,0.001115,2.465330,1.81466098375559 
1,0.125,0.09,0.0089,0.020193,2.645720,[1.85107627568208 2.14393240097702] 
1,0.125,0.09,0.0089,0.012883,2.826110,[1.85107627568208 0.651317489643446 0.526708608736393 0.965906302597177] 
1,0.125,0.09,0.0089,0.013547,3.186890,[1.10903373411917 1.85107627568208 0.651317489643446 0.526708608736393 0.965906302597177 0.867521625543703] 
1,0.125,0.09,0.0089,0.018288,3.667930,[1.10903373411917 1.85107627568208 1.17802609837984 0.965906302597177] 
1,0.125,0.09,0.0089,0.001781,2.224810,[] 
1,0.125,0.09,0.0089,0.009470,2.765980,[0.49130473829029 0.436164291450006 0.389406720298947 0.534200525642832 0.651317489643446 0.526708608736393 0.965906302597177] 
11,0.125,0.09,0.0089,0.023181,2.705850,2.30587451769114 
11,0.125,0.09,0.0089,0.020891,1.262730,[] 
11,0.125,0.09,0.0089,0.003758,4.389490,[0.636779534649843 0.379362333415578 0.421056581299898 0.41369226435101 0.508031196753898 0.583732141870753 0.625833218052506 0.322137717713152 0.52926864448422 0.494180513878167 0.487930794188037 0.53296413343713] 
11,0.125,0.09,0.0089,0.003903,1.623510,[0.41369226435101 0.508031196753898 0.583732141870753 0.625833218052506 0.322137717713152 0.52926864448422 0.113065723088093] 
11,0.125,0.09,0.0089,0.002769,2.465330,[0.800418914715476 0.41369226435101 0.508031196753898 0.583732141870753 0.625833218052506 0.851406362197372 0.494180513878167 0.487930794188037] 
11,0.125,0.09,0.0089,0.000233,2.645720,[] 
11,0.125,0.09,0.0089,0.012689,2.826110,[0.800418914715476 0.41369226435101 1.09176333862465 1.47723958024988 0.494180513878167 0.487930794188037] 
11,0.125,0.09,0.0089,0.019659,3.186890,[2.30587451769114 1.47723958024988] 
11,0.125,0.09,0.0089,0.021678,3.667930,[2.30587451769114 1.47723958024988] 
11,0.125,0.09,0.0089,0.015929,2.224810,[1.09176333862465 1.47723958024988] 
